"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","VPP Search Resource and Column Validation and Page Navigation","0","1","0","0","0"
"","","VPP Program Creation - QCells Operator with Energy Arbitrage for Event Creation","1","0","0","0","0"
"","","VPP Program Creation - QCells Operator with energy arbitrage program type","1","0","0","0","0"
"","","VPP Program Creation and charge event creation- QCells Operator with VPP Export to Grid for SolarEdge Event Creation","1","0","0","0","0"
"","","VPP Resources - Verify Site PTO Date","0","1","0","0","0"
"","","VPP Resources - Resources_Production_Energy Production & Summary verification","0","1","0","0","0"
"","","VPP Login Negative Validation","0","0","5","0","0"
"","","VPP Program Creation - EnergyHub Operator","1","0","0","0","0"
"","","VPP dishcharge event creation - QCells Operator","1","0","0","0","0"
"","","VPP Program Creation and discharge event creation- QCells Operator with VPP Export to Grid for SolarEdge Event Creation","1","0","0","0","0"
"","","VPP Program Creation and Edit – Leap Operator with VPP Export to Grid program type","1","0","0","0","0"
"","","VPP Program Creation – Negative scenario with missing mandatory fields","1","0","0","0","0"
"","","VPP Program Creation - Leap Operator","1","0","0","0","0"
"","","VPP logout","0","0","1","0","0"
"","","VPP User Manual: Redirect to respective application help page","0","0","1","0","0"
"","","VPP Resources - Site List - Site Address verification","0","1","0","0","0"
"","","VPP Resource Pagination Validation","0","1","0","0","0"
"","","VPP Program Creation and charge event creation- QCells Operator with VPP Export to Grid for Enphase Event Creation","1","0","0","0","0"
"","","VPP Login Validation","0","0","1","0","0"
"","","VPP Search Resource Validation","0","1","0","0","0"
"","","VPP Program event summary search functionality ","0","0","1","0","0"
"","","VPP Program Creation and Edit – QCells Operator with energy arbitrage program type","1","0","0","0","0"
"","","VPP Resources - Site List - Site Customer Name verification","0","1","0","0","0"
"","","VPP charge event creation - QCells Operator","1","0","0","0","0"
"","","VPP discharge event creation - QCells Operator with Energy Arbitrage","1","0","0","0","0"
"","","VPP Navigation and Resource Count Validation","0","1","0","0","0"
"","","VPP Program Event Summary","0","0","1","0","0"
"","","VPP Program Creation and discharge event creation- QCells Operator with VPP Export to Grid for Enphase Event Creation","1","0","0","0","0"
"","","VPP Program Dashboard","1","0","0","0","0"
"","","VPP Program Creation - QCells Operator","1","0","0","0","0"
"","","VPP Login Session","0","0","1","0","0"
"","","VPP Program Creation - QCells Operator for Event Creation","1","0","0","0","0"
"","","VPP Resource Production data Validation","0","1","0","0","0"
"","","VPP Program Creation - Chariot Operator","1","0","0","0","0"
